bootstrap,resample,delta_f1,delta_fpr
event,"[(4501, 4441, 4561), (2147, 2087, 2207), (1860, 1800, 1920), (4724, 4664, 4784), (590, 530, 650), (376, 316, 436), (2147, 2087, 2207), (5597, 5537, 5657), (5784, 5724, 5844), (590, 530, 650), (1860, 1800, 1920), (5031, 4971, 5091), (2550, 2490, 2610)]",-0.06816894819528074,-0.04856604563533599
event,"[(590, 530, 650), (4501, 4441, 4561), (22, 0, 82), (3884, 3824, 3944), (376, 316, 436), (5597, 5537, 5657), (4501, 4441, 4561), (376, 316, 436), (1860, 1800, 1920), (590, 530, 650), (22, 0, 82), (5784, 5724, 5844), (4724, 4664, 4784)]",-0.05870278492303033,-0.0526742301458671
event,"[(3884, 3824, 3944), (376, 316, 436), (4501, 4441, 4561), (5597, 5537, 5657), (590, 530, 650), (3884, 3824, 3944), (22, 0, 82), (4724, 4664, 4784), (2867, 2807, 2927), (2867, 2807, 2927), (376, 316, 436), (3884, 3824, 3944), (5031, 4971, 5091)]",-0.10416384617222404,-0.042747163695299836
event,"[(1860, 1800, 1920), (2867, 2807, 2927), (22, 0, 82), (5784, 5724, 5844), (2147, 2087, 2207), (4501, 4441, 4561), (1860, 1800, 1920), (2147, 2087, 2207), (5784, 5724, 5844), (5031, 4971, 5091), (2867, 2807, 2927), (22, 0, 82), (1860, 1800, 1920)]",-0.1088888888888889,-0.04422556971803786
event,"[(376, 316, 436), (376, 316, 436), (4501, 4441, 4561), (590, 530, 650), (376, 316, 436), (3884, 3824, 3944), (2147, 2087, 2207), (4724, 4664, 4784), (2550, 2490, 2610), (5784, 5724, 5844), (2147, 2087, 2207), (2867, 2807, 2927), (2867, 2807, 2927)]",-0.09079754601227,-0.045528787260106174
event,"[(4501, 4441, 4561), (3884, 3824, 3944), (1860, 1800, 1920), (4501, 4441, 4561), (1860, 1800, 1920), (2867, 2807, 2927), (1860, 1800, 1920), (376, 316, 436), (5597, 5537, 5657), (5597, 5537, 5657), (590, 530, 650), (2550, 2490, 2610), (4724, 4664, 4784)]",-0.09951864086833406,-0.045528787260106174
event,"[(5784, 5724, 5844), (5597, 5537, 5657), (4724, 4664, 4784), (2147, 2087, 2207), (5784, 5724, 5844), (5031, 4971, 5091), (5784, 5724, 5844), (4724, 4664, 4784), (4724, 4664, 4784), (3884, 3824, 3944), (4724, 4664, 4784), (4501, 4441, 4561), (4724, 4664, 4784)]",-0.06763345554387323,-0.04863813229571985
event,"[(2550, 2490, 2610), (4501, 4441, 4561), (5031, 4971, 5091), (22, 0, 82), (5031, 4971, 5091), (376, 316, 436), (2867, 2807, 2927), (4501, 4441, 4561), (2867, 2807, 2927), (5784, 5724, 5844), (5784, 5724, 5844), (4501, 4441, 4561), (2867, 2807, 2927)]",-0.04727668845315908,-0.05175743530320587
event,"[(5031, 4971, 5091), (2147, 2087, 2207), (590, 530, 650), (5597, 5537, 5657), (22, 0, 82), (22, 0, 82), (4724, 4664, 4784), (22, 0, 82), (4724, 4664, 4784), (1860, 1800, 1920), (4501, 4441, 4561), (2550, 2490, 2610), (4724, 4664, 4784)]",-0.08503093916492127,-0.04477309562398703
event,"[(376, 316, 436), (4724, 4664, 4784), (2147, 2087, 2207), (1860, 1800, 1920), (4724, 4664, 4784), (2147, 2087, 2207), (5597, 5537, 5657), (2867, 2807, 2927), (5784, 5724, 5844), (1860, 1800, 1920), (2867, 2807, 2927), (5031, 4971, 5091), (4724, 4664, 4784)]",-0.13260555412225544,-0.03984857541342897
event,"[(1860, 1800, 1920), (2147, 2087, 2207), (376, 316, 436), (5597, 5537, 5657), (376, 316, 436), (5031, 4971, 5091), (4724, 4664, 4784), (4724, 4664, 4784), (5597, 5537, 5657), (2867, 2807, 2927), (22, 0, 82), (5031, 4971, 5091), (5031, 4971, 5091)]",-0.1478445982539438,-0.037176191417836665
event,"[(4724, 4664, 4784), (2550, 2490, 2610), (2867, 2807, 2927), (2147, 2087, 2207), (3884, 3824, 3944), (5597, 5537, 5657), (376, 316, 436), (4501, 4441, 4561), (1860, 1800, 1920), (590, 530, 650), (590, 530, 650), (5784, 5724, 5844), (376, 316, 436)]",-0.12732797898167547,-0.039304123711340205
event,"[(5031, 4971, 5091), (376, 316, 436), (4501, 4441, 4561), (1860, 1800, 1920), (5031, 4971, 5091), (4724, 4664, 4784), (5784, 5724, 5844), (1860, 1800, 1920), (2550, 2490, 2610), (376, 316, 436), (590, 530, 650), (590, 530, 650), (1860, 1800, 1920)]",0.026966276977659076,-0.062163777644949195
event,"[(2867, 2807, 2927), (2147, 2087, 2207), (4501, 4441, 4561), (5597, 5537, 5657), (5784, 5724, 5844), (2867, 2807, 2927), (2867, 2807, 2927), (1860, 1800, 1920), (2147, 2087, 2207), (2550, 2490, 2610), (590, 530, 650), (590, 530, 650), (3884, 3824, 3944)]",-0.14799433695139216,-0.037566353613719884
event,"[(2867, 2807, 2927), (2550, 2490, 2610), (5597, 5537, 5657), (2147, 2087, 2207), (2147, 2087, 2207), (376, 316, 436), (5031, 4971, 5091), (3884, 3824, 3944), (590, 530, 650), (22, 0, 82), (590, 530, 650), (376, 316, 436), (1860, 1800, 1920)]",-0.13772187419668153,-0.03551401869158878
