resample,delta_f1
"[(22, 0, 82), (5597, 5537, 5657), (5597, 5537, 5657), (3884, 3824, 3944), (376, 316, 436), (3884, 3824, 3944), (2550, 2490, 2610), (22, 0, 82), (5597, 5537, 5657), (2867, 2807, 2927), (5784, 5724, 5844), (5597, 5537, 5657), (22, 0, 82)]",-0.12331154684095862
"[(3884, 3824, 3944), (1860, 1800, 1920), (2867, 2807, 2927), (2550, 2490, 2610), (3884, 3824, 3944), (5784, 5724, 5844), (590, 530, 650), (3884, 3824, 3944), (4724, 4664, 4784), (3884, 3824, 3944), (376, 316, 436), (4501, 4441, 4561), (4501, 4441, 4561)]",-0.0504388862671071
"[(4724, 4664, 4784), (5031, 4971, 5091), (2867, 2807, 2927), (4501, 4441, 4561), (5784, 5724, 5844), (22, 0, 82), (376, 316, 436), (2147, 2087, 2207), (5784, 5724, 5844), (5784, 5724, 5844), (1860, 1800, 1920), (2867, 2807, 2927), (5784, 5724, 5844)]",-0.09036266913011975
"[(2550, 2490, 2610), (4724, 4664, 4784), (5031, 4971, 5091), (5031, 4971, 5091), (2550, 2490, 2610), (5784, 5724, 5844), (3884, 3824, 3944), (5784, 5724, 5844), (2147, 2087, 2207), (1860, 1800, 1920), (5031, 4971, 5091), (4501, 4441, 4561), (376, 316, 436)]",-0.006078338839075104
"[(2550, 2490, 2610), (22, 0, 82), (2147, 2087, 2207), (5784, 5724, 5844), (5597, 5537, 5657), (5031, 4971, 5091), (1860, 1800, 1920), (2550, 2490, 2610), (590, 530, 650), (5597, 5537, 5657), (2147, 2087, 2207), (5597, 5537, 5657), (590, 530, 650)]",-0.09196674711974606
"[(3884, 3824, 3944), (4501, 4441, 4561), (376, 316, 436), (3884, 3824, 3944), (2147, 2087, 2207), (5597, 5537, 5657), (2550, 2490, 2610), (22, 0, 82), (2550, 2490, 2610), (5031, 4971, 5091), (590, 530, 650), (1860, 1800, 1920), (4724, 4664, 4784)]",-0.07521201187962606
"[(4724, 4664, 4784), (4501, 4441, 4561), (590, 530, 650), (1860, 1800, 1920), (4501, 4441, 4561), (1860, 1800, 1920), (376, 316, 436), (3884, 3824, 3944), (2147, 2087, 2207), (2147, 2087, 2207), (590, 530, 650), (5597, 5537, 5657), (1860, 1800, 1920)]",-0.08945141702794263
"[(2147, 2087, 2207), (3884, 3824, 3944), (5597, 5537, 5657), (590, 530, 650), (22, 0, 82), (376, 316, 436), (5597, 5537, 5657), (2147, 2087, 2207), (1860, 1800, 1920), (590, 530, 650), (5031, 4971, 5091), (22, 0, 82), (2147, 2087, 2207)]",-0.09018053385017133
"[(4724, 4664, 4784), (376, 316, 436), (3884, 3824, 3944), (3884, 3824, 3944), (376, 316, 436), (4501, 4441, 4561), (5784, 5724, 5844), (2867, 2807, 2927), (2867, 2807, 2927), (2867, 2807, 2927), (2550, 2490, 2610), (5784, 5724, 5844), (2867, 2807, 2927)]",-0.04283270593747103
"[(2867, 2807, 2927), (2867, 2807, 2927), (5597, 5537, 5657), (5031, 4971, 5091), (2867, 2807, 2927), (590, 530, 650), (2550, 2490, 2610), (376, 316, 436), (376, 316, 436), (2867, 2807, 2927), (1860, 1800, 1920), (4501, 4441, 4561), (4724, 4664, 4784)]",-0.08861727229825389
"[(5597, 5537, 5657), (4501, 4441, 4561), (590, 530, 650), (5784, 5724, 5844), (3884, 3824, 3944), (2867, 2807, 2927), (2147, 2087, 2207), (590, 530, 650), (1860, 1800, 1920), (2550, 2490, 2610), (4724, 4664, 4784), (2550, 2490, 2610), (5031, 4971, 5091)]",-0.11848581595663307
"[(5031, 4971, 5091), (2867, 2807, 2927), (22, 0, 82), (2550, 2490, 2610), (2147, 2087, 2207), (5031, 4971, 5091), (3884, 3824, 3944), (1860, 1800, 1920), (5784, 5724, 5844), (5031, 4971, 5091), (590, 530, 650), (4501, 4441, 4561), (5597, 5537, 5657)]",-0.13473485463699855
