resample,delta_fpr
368,-0.03327752197572206
369,-0.05361098803721754
370,-0.05330006804264005
371,-0.037980146741476054
372,-0.03731994762112614
373,-0.020295609971321422
374,-0.04845385926467008
375,-0.03929318763078354
376,-0.0507624817213286
377,-0.02519509476031215
378,-0.0435630689206762
379,-0.044429995665366276
380,-0.03758567322573513
381,-0.025461340808222377
382,-0.0438969764837626
383,-0.027020941229452825
384,-0.025652771415483278
385,-0.052313883299798795
386,-0.023526671325413466
387,-0.03593890386343217
388,-0.029235880398671095
389,-0.051765738100460625
390,-0.05773059057730591
391,-0.03831498729889924
392,-0.02369460289600702
393,-0.03251095227115518
394,-0.0393964794635373
395,-0.046792969641634326
396,-0.05207413945278023
397,-0.03966421825813221
398,-0.028473804100227793
399,-0.06627761567319716
400,-0.041552511415525115
401,-0.04962268465584267
402,-0.049895080438330616
403,-0.015858423350953804
404,-0.03635557526047439
405,-0.03587836359658718
406,-0.038738111807005336
407,-0.040880503144654086
408,-0.033814247069431924
409,-0.03177366702937976
410,-0.030649588289112538
411,-0.07263064658990258
412,-0.03095684803001876
413,-0.04313304721030043
414,-0.01402553904123927
415,-0.05382635150947812
416,-0.01986434108527132
417,-0.040106951871657755
418,-0.03364614328221561
419,-0.04781420765027322
420,-0.029455081001472753
421,-0.03861832224844454
422,-0.019825708061002176
423,-0.02588707877705869
424,-0.055367231638418085
425,-0.030583674348481582
426,-0.04044283777677361
427,-0.041590493601462525
428,-0.05549024218198918
429,-0.019501133786848073
430,-0.026057142857142855
431,-0.03451514440009392
432,-0.06715884734460587
433,-0.0537769407825905
434,-0.03948248940441668
435,-0.03258375401560349
436,-0.03405221339387061
437,-0.03199308257674016
438,-0.024056499668947254
439,-0.03238176395398381
440,-0.042915531335149866
441,-0.03844361602982292
442,-0.02433425160697888
443,-0.03515536402812429
444,-0.03663943990665111
445,-0.020833333333333332
446,-0.06034878384580083
447,-0.020970782280867104
448,-0.03838338225333032
449,-0.04082538273796317
450,-0.02285851780558229
451,-0.0362154821186057
452,-0.03232577665827036
453,-0.03386621792175011
454,-0.04386363636363636
455,-0.038823799678382724
456,-0.02901098901098901
457,-0.04066666666666667
458,-0.02212290502793296
459,-0.04439511653718091
460,-0.022934758405700292
461,-0.037402478201009635
462,-0.030191934440370927
463,-0.04217512309997859
464,-0.03606936416184971
465,-0.03710208562019759
466,-0.06700574966828836
467,-0.024673439767779387
468,-0.03955189757658893
469,-0.0330654420206659
470,-0.04407087687414812
471,-0.03379310344827586
472,-0.033876221498371335
473,-0.04503716659379099
474,-0.0776112726459405
475,-0.030329103032910303
476,-0.036857205914809094
477,-0.04092245082523174
478,-0.027469990766389656
479,-0.04256243213897937
480,-0.041064320134087576
481,-0.029227557411273482
482,-0.02877697841726619
483,-0.04374342797055731
484,-0.03375826251180359
485,-0.030965786054569077
486,-0.026627218934911247
487,-0.04476919508234749
488,-0.031136363636363636
489,-0.05659526493799323
490,-0.05025553662691653
491,-0.02535404294198264
492,-0.05668284075871196
493,-0.03983088562527815
494,-0.045806745670009114
495,-0.037663509246729815
496,-0.03546576879910213
497,-0.04632693580410324
498,-0.02798134576948701
499,-0.045056867891513565
500,-0.03321718931475029
501,-0.033837934105075684
502,-0.0409369527145359
503,-0.033384246126991056
504,-0.01927386822052891
505,-0.04065958888637904
506,-0.04301319981793355
507,-0.033166742389822805
508,-0.04078728954232867
509,-0.035321100917431195
510,-0.031167690956979806
511,-0.03705281090289608
512,-0.026702873953383117
513,-0.03202235117128734
514,-0.03566265060240964
515,-0.048147326381184824
516,-0.04249726177437021
517,-0.030112923462986198
518,-0.02509208103130755
519,-0.04163014899211218
520,-0.04802195289275097
521,-0.035219268348102704
522,-0.03229581090568687
523,-0.05743899805657525
524,-0.038038496791934
525,-0.028115015974440896
526,-0.03218243819266837
527,-0.02332955832389581
528,-0.031746031746031744
529,-0.04620168813860506
530,-0.045603316604843985
531,-0.05826944140197152
532,-0.040514049226747985
533,-0.035831381733021084
534,-0.03840749414519907
535,-0.040427807486631016
536,-0.028373702422145326
537,-0.029850746268656716
538,-0.03860745369337202
539,-0.042991491267353334
540,-0.040228571428571426
541,-0.027207850133809098
542,-0.02598016060462919
543,-0.020994979461433135
544,-0.035977277508941724
545,-0.03260869565217391
546,-0.04386582219094534
547,-0.045422617653945216
548,-0.03871978513876455
549,-0.030368763557483733
550,-0.04288321167883212
551,-0.04560190188026799
552,-0.027134348113831898
553,-0.033415564027808924
554,-0.05434076639965361
555,-0.025299299751524736
556,-0.045539906103286384
557,-0.057905451255372095
558,-0.03670797287818565
559,-0.029411764705882353
560,-0.03145853193517636
561,-0.02702702702702703
562,-0.04636217580904292
563,-0.03664087391898043
564,-0.04420549581839904
565,-0.04471544715447154
566,-0.03929052537045353
567,-0.06641066184775243
568,-0.0214848412508952
569,-0.029906956136464335
570,-0.05149051490514905
571,-0.03825136612021858
572,-0.04163034001743679
573,-0.03367992766726944
574,-0.0522273425499232
575,-0.038576300085251494
576,-0.03257403189066059
577,-0.04638179085248014
