resample,delta_f1
599,-0.11683140984147974
600,-0.10840246386170588
601,-0.14126565913609845
602,-0.13261658206118382
603,-0.19877088602545584
604,-0.12466199866247982
605,-0.19671387073347857
606,-0.10199435538994114
607,-0.14795738438514083
608,-0.09060443999846099
609,-0.11217951091092326
610,-0.12301089516279384
611,-0.08601118159337706
612,-0.08237906293044964
613,-0.10274568699938386
614,-0.08978399616209098
615,-0.17223403604320295
616,-0.05911694037863713
617,-0.13190176076252574
618,-0.12390546148051715
619,-0.05095169507378189
620,-0.174154712800618
621,-0.16084589455903586
622,-0.15799454169019392
623,-0.16438289033307155
624,-0.13885243622040627
625,-0.20999969282123218
626,-0.14508165552475352
627,-0.14156623848229283
628,-0.10015963063925934
629,-0.06357852276931783
630,-0.125901102754939
631,-0.12478108852377856
632,-0.13112602100350054
633,-0.14160854913409382
634,-0.17437680364472108
635,-0.21370241227785922
636,-0.08878858857618038
637,-0.15524326088517001
638,-0.10484281192302258
639,-0.11735784038676261
640,-0.129918031455916
641,-0.16521842863386213
642,-0.16863117863693522
643,-0.1540159031852661
644,-0.08169518599807063
645,-0.0922752611925905
646,-0.1368795236384169
647,-0.04957157938163098
648,-0.12699240847671245
649,-0.08838060309364859
650,-0.10006726029735072
651,-0.1603102584046323
652,-0.04297335937058802
653,-0.09876038870100723
654,-0.14491116744153884
655,-0.10044776808382955
656,-0.17844773356664081
657,-0.19418531245156634
658,-0.1814378469589885
659,-0.042688254617950505
660,-0.13005391772150143
661,-0.14797856944389992
662,-0.11710079798427697
663,-0.04820597971282903
664,-0.07135034052019612
665,-0.13298225492152665
666,-0.15265505873466728
667,-0.15938434019637177
668,-0.06842370581886711
669,-0.09216518462364223
670,-0.14436035649025925
671,-0.14451193206927757
672,-0.11109967904592707
673,-0.19098104449613001
674,-0.1355525875533099
675,-0.053996614581210634
676,-0.0745091339422628
677,-0.17279862545172947
678,-0.1482156396470912
679,-0.054239735046019755
680,-0.09418672552357571
681,-0.13728280366906848
682,-0.10780903699858238
683,-0.16839744940495277
684,-0.04764150208366785
685,-0.11649418370074277
686,-0.14071157124723815
687,-0.124175002275694
688,-0.09170394252223213
689,-0.1308691121967415
690,-0.16651914316228555
691,-0.05218503290203988
692,-0.10160427807486638
693,-0.15788063485141737
694,-0.15270734353854568
695,-0.06824940647257283
696,-0.13140029726336383
697,-0.1741487000867099
698,-0.14459711107755802
699,-0.14330293389251428
700,-0.12993462098709901
701,-0.13642085323914366
702,-0.171041389689358
703,-0.12569811774710898
704,-0.16586456681460005
705,-0.13064029784953132
706,-0.07385690011080492
707,-0.17441768782979836
708,-0.10495528208022162
709,-0.12642646501546606
710,-0.15051867359126106
711,-0.10837851020401823
712,-0.09934370442391832
713,-0.22351233671988394
714,-0.1297623282035468
715,-0.1786948929042375
716,-0.07020375312151761
717,-0.16698115301795902
718,-0.1847359292607592
719,-0.12731637713643218
720,-0.14293666248744008
721,-0.12193140132236352
722,-0.13096884191925884
723,-0.09497113056435091
724,-0.08231078321586191
725,-0.2068786268357985
726,-0.165555427353245
727,-0.15211650233242777
728,-0.08679448325118605
729,-0.11461702127659573
730,-0.13102077392456685
731,-0.10050455643563658
732,-0.06904154528654582
733,-0.09196352334437644
734,-0.09785838586950199
735,-0.07738655401653038
736,-0.1595878245212779
737,-0.13974925816234954
738,-0.07680833183264296
739,-0.10481737111811301
740,-0.08624571909029388
741,-0.14613865251275002
742,-0.1353400827162194
743,-0.08666827369334765
744,-0.0650114690856011
745,-0.1521424883840991
746,-0.035398781464257845
747,-0.17216164896436503
748,-0.0793203078210708
749,-0.1377223178251758
750,-0.12303476457734445
751,-0.17702508629912714
752,-0.10412698412698412
753,-0.09298834747445603
754,-0.08237001541027208
755,-0.11335350951268292
756,-0.11530408773678963
757,-0.18192326741004664
758,-0.1488699182665288
759,-0.15867762128325505
760,-0.09391642709876008
761,-0.17402283706631533
762,-0.11538500280362218
763,-0.07704419682519287
764,-0.12897623954418716
765,-0.10101496663464077
766,-0.1387010198604402
767,-0.1703406878575116
768,-0.16461790341888927
769,-0.09604040506944123
770,-0.1258850523012832
771,-0.10361749380712396
772,-0.14964665882224165
773,-0.1232752901449613
774,-0.04583242673629334
775,-0.10763309757886286
776,-0.10275797104161599
777,-0.12131510817746355
778,-0.13576873490584881
779,-0.11210600511274349
780,-0.09425072505530357
781,-0.15776329273059572
782,-0.13504706075115147
783,-0.12417251491632217
784,-0.1953256421791588
785,-0.10159921314341908
786,-0.0987694036280499
787,-0.10841751589175375
788,-0.15003357925913044
789,-0.08917624589165582
790,-0.12758905605672827
791,-0.15371686753506822
792,-0.12660190314236347
793,-0.15461987675551733
794,-0.11632127612076609
795,-0.1071050973983354
796,-0.03526029779434431
797,-0.13114063442023985
798,-0.09208379302206621
799,-0.11523914476370797
800,-0.1118318369365332
801,-0.07827944408515294
802,-0.13857164610933453
803,-0.12405957483438879
804,-0.12492539906437156
805,-0.1280823491860836
806,-0.08291820300553926
807,-0.037713015186883775
808,-0.11146691792753605
809,-0.14068138167756078
810,-0.1425010530933001
811,-0.1911226277969122
812,-0.08794921804838574
813,-0.18812086447971832
814,-0.10011456533019208
815,-0.1637598870153883
816,-0.2171772889391019
817,-0.025830829525862464
818,-0.15482724727165864
819,-0.125207299619649
820,-0.10760989707855528
821,-0.12427819674878499
822,-0.13460182057150577
823,-0.10624286592325927
824,-0.1117580370245145
825,-0.0750595017943958
826,-0.16388359779854925
827,-0.03794124310970251
828,-0.13239103285242668
829,-0.12107034562763175
830,-0.10458453491262254
831,-0.1681025380265057
832,-0.06102694857411836
833,-0.12060493109659651
834,-0.09759123571809064
835,-0.13088202452971237
836,-0.10609903381642521
837,-0.116737287452915
838,-0.10448496445046815
839,-0.1968854793513712
840,-0.13506896511037958
841,-0.1168039961850102
842,-0.11693733579335344
843,-0.16105634297870267
844,-0.06538899927606545
845,-0.10057346931767458
846,-0.11628957916834926
847,-0.07791397632284386
848,-0.11906680743526954
849,-0.11035117647893966
850,-0.05984513349960785
851,-0.07902535622670587
852,-0.0867370021508567
853,-0.1382450886458269
854,-0.043665916258356224
855,-0.11121237819519311
856,-0.12181797969369904
857,-0.08879321184371974
858,-0.154176876475098
859,-0.09585741721907484
860,-0.17884945358342416
861,-0.20374417813442205
862,-0.11480423281746444
863,-0.16942171288489336
864,-0.21856596605748754
865,-0.11998146088912284
866,-0.09408296193767779
867,-0.1310248014003601
868,-0.1579093581419388
869,-0.10299842964493111
870,-0.10450012381531257
871,-0.0998401890104341
872,-0.13864701523178152
873,-0.1534136747425651
874,-0.13453757297769
875,-0.07791172530954948
876,-0.1339751454497307
877,-0.04986329332150086
878,-0.09654941817731108
879,-0.14614644978236785
880,-0.06487549342858043
881,-0.04505379982405083
882,-0.16701589175796522
883,-0.1452126718816257
884,-0.14220664629322538
885,-0.17095750199515664
886,-0.1421214462447284
887,-0.14165555414089567
888,-0.12106481481481482
889,-0.07835659822317864
890,-0.074789400326595
891,-0.12048496155750282
892,-0.07798849580486117
893,-0.08164345637357082
894,-0.17465632563019437
895,-0.12876238200962797
896,-0.14264136985034598
897,-0.13118615152527613
898,-0.14944312405115867
899,-0.06099562059688196
900,-0.0813416778141057
901,-0.1955928363361743
902,-0.15797318697382315
903,-0.06100590332573497
904,-0.17097164693067327
905,-0.11569985411535863
906,-0.11318587715895592
907,-0.10313989384317171
908,-0.1609618168317946
909,-0.14629347049711044
910,-0.12712776293769779
911,-0.15341979451589413
912,-0.14914068155615734
913,-0.13155323386824008
914,-0.053127250381125424
915,-0.13390253445844683
916,-0.10550212956968005
917,-0.14684706989180757
918,-0.10417331519517273
919,-0.12017047513304818
920,-0.13803051765771637
921,-0.06810801294148716
922,-0.12274829689290151
923,-0.136270739662493
924,-0.21237188080859404
925,-0.12772109493420974
926,-0.09784458924449474
927,-0.1605581556509089
928,-0.11747573199735653
929,-0.11028222154445425
930,-0.09259740259740262
931,-0.12037632794292175
932,-0.16938446594956294
933,-0.10208734558425717
934,-0.1105927873471736
935,-0.12100216075287057
936,-0.15462587957213822
937,-0.09981367253183271
938,-0.12962950723491182
939,-0.1432193576308464
940,-0.1258115417358179
941,-0.09813791738958394
942,-0.14026026568479344
943,-0.19863261173259444
944,-0.19608801955990215
945,-0.06671359965314569
946,-0.16449453762117244
947,-0.12154055292049001
948,-0.07002918337052788
949,-0.14597701804910038
950,-0.18330335311467388
951,-0.13456928983763392
952,-0.11101968111368188
953,-0.03781060685086052
954,-0.20909860681199266
955,-0.0632653595798463
956,-0.11315930873099919
957,-0.06678361692516188
958,-0.07171250170176491
959,-0.1402679876413017
960,-0.1263561404886996
961,-0.11022992156985564
962,-0.07076221886424403
963,-0.09068766337031825
964,-0.14389900104185815
965,-0.09303412622086102
966,-0.11719125334228658
967,-0.04052500901564704
968,-0.07957896647157572
969,-0.08790849673202616
970,-0.16396969920682358
971,-0.11565799482732383
972,-0.009196455758179067
973,-0.15194902619048925
974,-0.13335062734710507
975,-0.13079090125957488
976,-0.11468485420586844
977,-0.23869813541774298
978,-0.12554085521223257
979,-0.082897730724412
980,-0.09782000650244799
981,-0.1322580913729381
982,-0.07625377025714442
983,-0.15276024281835318
984,-0.0762246539995855
985,-0.09807773822506627
986,-0.09210356129214889
987,-0.15565503181386167
988,-0.07662612785309372
989,-0.12720978997984028
990,-0.06901033410599772
991,-0.15809333939487472
992,-0.11285502518450646
993,-0.07785517358680127
994,-0.07233337751453806
995,-0.12267690461186503
996,-0.2378721980595517
997,-0.08106640217007435
998,-0.12460655531702441
999,-0.1421003505989341
1000,-0.12015398010280065
1001,-0.07399632483192237
1002,-0.11364834613955174
1003,-0.23519664614217706
1004,-0.15669861805829272
1005,-0.13993932867492817
1006,-0.0584127324596212
1007,-0.10574877175801589
1008,-0.18163291911632903
1009,-0.1175382574708527
1010,-0.07750443438306745
